category,price_dh,city,district,surface_m2,rooms,bathrooms,floor,property_age_years,price_per_m2
Appartement,2400000.0,Marrakech,M'Hamid,65,2.0,2.0,,,36923.07692307692
Appartement,110000.0,Casablanca,Bourgogne,127,3.0,2.0,,,866.1417322834645
Appartement,33750000.0,Casablanca,Racine,190,4.0,3.0,,,177631.57894736843
Appartement,414500.0,Marrakech,Hivernage,85,2.0,2.0,,,4876.470588235294
Appartement,4000000.0,Bouskoura,Ville verte,269,3.0,3.0,,,14869.888475836431
Appartement,1400000.0,Cabo Negro,Toute la ville,75,1.0,1.0,,,18666.666666666668
Appartement,41500000.0,Casablanca,Maârif Extension,123,3.0,2.0,,,337398.3739837398
Appartement,310000.0,Marrakech,Guéliz,120,2.0,2.0,,,2583.3333333333335
Appartement,51078000.0,Marrakech,Hay Izdihar,77,2.0,2.0,,,663350.6493506493
Appartement,21650000.0,Casablanca,Bourgogne,100,2.0,2.0,,,216500.0
Appartement,24700000.0,Rabat,Souissi,135,3.0,2.0,,,182962.96296296295
Appartement,1600000.0,Marrakech,Route de Tahanaoute,58,1.0,1.0,,,27586.206896551725
Appartement,21800000.0,Casablanca,Val Fleuri,126,3.0,2.0,,,173015.87301587302
Appartement,1850000.0,Sidi Bouknadel,Toute la ville,130,2.0,2.0,,,14230.76923076923
Appartement,21350000.0,Marrakech,Hay Izdihar,96,2.0,2.0,,,222395.83333333334
Villa_Riad,8500000.0,Marrakech,Route de Tahanaoute,560,5.0,6.0,,,15178.57142857143
Villa_Riad,6500000.0,Tanger,Ziatene,319,5.0,4.0,,,20376.17554858934
Villa_Riad,3800000.0,Marrakech,Hay Targa,485,5.0,4.0,,,7835.051546391753
Villa_Riad,2700000.0,Kénitra,kasbat al mahdia,301,4.0,4.0,,,8970.099667774086
Villa_Riad,4600000.0,Casablanca,Aïn Chock,300,5.0,5.0,,,15333.333333333332
Villa_Riad,4200000.0,Marrakech,Assif,442,13.0,4.0,,,9502.262443438914
Villa_Riad,3800000.0,Casablanca,Polo,270,5.0,3.0,,,14074.074074074075
Maison,3700000.0,Tanger,Ahlane,134,6.0,3.0,,,27611.940298507463
Villa_Riad,5300000.0,Marrakech,Route d'Ourika,500,4.0,4.0,,,10600.0
Villa_Riad,7400000.0,Rabat,Hay Riad,350,3.0,3.0,,,21142.85714285714
Villa_Riad,2250000.0,Sidi Rahal,Toute la ville,220,4.0,3.0,,,10227.272727272726
Maison,2200000.0,Mohammedia,Autre secteur,278,4.0,4.0,,,7913.669064748202
Maison,3500000.0,Marrakech,Route d'Amezmiz,260,3.0,4.0,,,13461.538461538463
Maison,1110000.0,Skhirat,Ain el Hayat,100,6.0,4.0,,,11100.0
Maison,2200000.0,Casablanca,Sidi Maarouf,72,5.0,4.0,,,30555.555555555555
Maison,2300000.0,Casablanca,Florida,72,4.0,4.0,,,31944.444444444445
Maison,2000000.0,Agadir,Autre secteur,90,5.0,3.0,,,22222.222222222223
Maison,3100000.0,Tanger,Autre secteur,300,5.0,3.0,,,10333.333333333332
Maison,850000.0,Fès,Ancienne Médina,252,4.0,4.0,,,3373.0158730158732
Maison,1200000.0,Agadir,Autre secteur,75,3.0,3.0,,,16000.0
Maison,1380000.0,Oujda,Andalous,410,5.0,4.0,,,3365.8536585365855
Maison,960000.0,Oujda,Boustane,180,4.0,2.0,,,5333.333333333333
Maison,260000.0,Bir Jdid,Toute la ville,350,1.0,1.0,,,742.8571428571429
Maison,300000.0,Tétouan,Safir,220,3.0,1.0,,,1363.6363636363637
Maison,950000.0,Tiznit,Toute la ville,81,2.0,2.0,,,11728.395061728395
Maison,3399000.0,Marrakech,Route de Fès,1700,4.0,3.0,,,1999.4117647058824
Maison,3500000.0,Marrakech,Route de Tahanaoute,260,4.0,3.0,,,13461.538461538463
Maison,2500000.0,Salé,Hay Chmaou,328,3.0,3.0,,,7621.951219512195
Maison,111111.0,Tanger,Ahlane,134,6.0,3.0,,,829.1865671641791
Maison,3500000.0,Marrakech,Route d'Amezmiz,260,4.0,3.0,,,13461.538461538463
Maison,790000.0,Midelt,Toute la ville,180,7.0,2.0,,,4388.888888888889
Maison,1380000.0,Oujda,Andalous,400,5.0,4.0,,,3450.0
Maison,2500000.0,Casablanca,Sidi Bernoussi,88,7.0,3.0,,,28409.090909090908
Maison,680000.0,Laâyoune,Toute la ville,300,3.0,2.0,,,2266.6666666666665
Maison,780000.0,Meknès,Autre secteur,90,2.0,1.0,,,8666.666666666666
Maison,2900000.0,Temara,Skikina,340,,,,,8529.411764705883
Maison,2200000.0,Salé,Hay Salam,110,9.0,,,,20000.0
Maison,720000.0,Marrakech,Hay Izdihar,72,5.0,4.0,,,10000.0
Maison,1500000.0,El Jadida,Autre secteur,156,7.0,4.0,,,9615.384615384615
Maison,960000.0,Taza,Toute la ville,260,8.0,2.0,,,3692.3076923076924
Maison,600000.0,Safi,Ourida 1 et 2,62,5.0,2.0,,,9677.41935483871
Maison,320000.0,Bouznika,Autre secteur,38,1.0,1.0,,,8421.052631578947
Commerce,3200000.0,Marrakech,Azli,260,,,,,12307.692307692309
Bureau_Plateau,1780000.0,Tanger,Drissia,165,,,,,10787.878787878788
Bureau_Plateau,7770000.0,Kénitra,Centre,72,,0.0,,,107916.66666666667
Bureau_Plateau,41350000.0,Safi,Autre secteur,167,,2.0,,,247604.79041916167
Bureau_Plateau,51900000.0,Casablanca,Quartier des Hôpitaux,147,,2.0,,,353061.2244897959
Bureau_Plateau,62570000.0,Casablanca,Palmier,123,,,,,508699.18699186994
